V2,V3,V4,V5,V7,V8,V9,V10,Q11,Q17,CompHap,MacArthurSES,dem_famincome,dem_pincome,dem_edu,dem_class,dem_household,dem_gender,dem_gender_TEXT,dem_age,dem_race,dem_race_TEXT,Q12,Q13,Q14,LocationAccuracy
ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,"By answering the following questions, you are participating in a study being performed by cogniti...",We are interested in how you spend your discretionary money. Discretionary money refers to money...,Think about a recent experiential purchase and object purchase that you made to increase your hap...,Think of this ladder as representing where people stand in the U.S. At the top of the ladder are...,"About how much is your yearly family income? (If more than one person working, add all).",About how much is your yearly personal income?,What is the highest level of education you have completed?,What would you describe your family and yourself?,"Currently, what is the number of your household? (If a father, a mother, and a child are living t...",What is your gender?,What is your gender?-TEXT,How old are you? (in years),What is your race?,What is your race?-TEXT,Thank you for participating in our survey! This study explores how subjective socioeconomic statu...,"Is there anything I could do to improve my MTurk studies? (e.g. clearer introduction, higher rewa...",Do you think the reward for this HIT is fair? ,LocationAccuracy
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:11,1,1,1,1,9,2,2,2,4,1,3,,33,4,,1,"No, but thanks for asking, and the compensation is very fair.",1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:11,1,1,1,-1,6,3,3,3,4,4,2,,36,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:11,1,1,1,-3,5,4,4,2,4,1,1,,37,1,,1,no issues,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:11,1,1,1,-2,6,8,8,4,4,1,1,,32,1,,1,no. okay hit thanks.,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:12,1,1,1,-2,7,4,4,2,4,2,2,,45,1,,1,"None, thank you.",1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:12,1,1,1,1,6,5,5,3,3,1,1,,32,4,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:12,1,1,1,2,5,8,6,2,4,3,1,,41,1,,1,,2,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:13,1,1,1,3,5,5,5,2,5,1,1,,30,3,,1,None,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:13,1,1,1,1,5,15,1,2,3,3,1,,33,1,,1,it is just fine!,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:13,1,1,1,-1,7,6,3,2,5,4,1,,37,1,,1,"no, it's fine, thanks",1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:13,1,1,1,-3,7,10,1,3,3,4,1,,34,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:13,1,1,1,-3,9,2,2,2,6,2,1,,28,1,,1,I thought it was great as it was. Thank you!,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:13,1,1,1,-3,6,15,11,2,3,5,1,,27,3,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:13,1,1,1,-2,4,5,2,2,5,4,2,,31,1,,1,higher reward,2,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:13,1,1,1,2,8,6,2,2,5,4,2,,38,1,,1,I can't think of anything to improve the study.,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:14,1,1,1,-3,5,7,5,3,4,2,2,,57,3,,1,nothing that I can think of,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:14,1,1,1,-1,7,4,4,2,5,5,2,,37,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:12,12/4/19 0:14,1,1,1,-3,3,12,8,3,3,4,1,,43,4,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:13,12/4/19 0:14,1,1,1,2,4,7,7,3,3,1,1,,30,1,,1,Everything was fine.,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:12,12/4/19 0:14,1,1,1,-2,8,2,1,2,6,2,2,,29,2,,1,higher reward,2,-1
Default Response Set,Anonymous,,,0,12/4/19 0:13,12/4/19 0:15,1,1,1,-2,8,4,4,2,6,3,2,,33,1,,1,No,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:12,12/4/19 0:15,1,1,1,-1,8,11,2,3,3,3,1,,36,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:15,1,1,1,3,5,5,5,3,3,1,1,,26,4,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:14,12/4/19 0:16,1,1,1,1,4,15,2,3,1,3,1,,34,4,,1,"It was a pretty simple study so it was fine, higher reward is always turkcrowd favorite",1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:16,1,1,1,3,9,1,1,2,6,3,2,,29,3,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:11,12/4/19 0:16,1,1,1,-2,7,8,8,3,3,2,1,,55,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:14,12/4/19 0:16,1,1,1,-2,6,5,1,3,3,5,2,,35,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:16,12/4/19 0:17,1,1,1,2,4,6,6,3,4,1,1,,39,4,,1,"Nope, everything was good",1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:10,12/4/19 0:18,1,1,1,1,8,15,8,3,5,3,2,,33,2,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:18,12/4/19 0:19,1,1,1,-1,3,4,4,4,5,1,1,,30,1,,1,The study was underpaid for the time and work required. Please consider paying a more fair rate for your research.,2,-1
Default Response Set,Anonymous,,,0,12/4/19 0:17,12/4/19 0:19,1,1,1,-2,8,3,1,2,2,3,2,,30,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:15,12/4/19 0:19,1,1,1,-3,4,4,4,3,4,1,2,,58,1,,1,This was nice. Thanks.,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:17,12/4/19 0:19,1,1,1,-3,5,4,4,3,4,2,1,,27,1,,1,I like it as is,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:16,12/4/19 0:19,1,1,1,3,2,4,1,2,6,2,1,,34,3,,1,"Everything was clear, thank you!",1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:18,12/4/19 0:20,1,1,1,-2,4,4,4,3,4,1,2,,34,1,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:18,12/4/19 0:21,1,1,1,-3,6,13,11,4,4,2,1,,40,1,,1,The reward should be raised slightly 25 cents is a little underpaid.,2,-1
Default Response Set,Anonymous,,,0,12/4/19 0:20,12/4/19 0:21,1,1,1,3,7,12,6,3,4,2,1,,31,4,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:21,12/4/19 0:22,1,1,1,2,5,10,10,3,3,3,1,,37,4,,1,,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:18,12/4/19 0:23,1,1,1,-2,8,4,1,2,5,3,1,,29,3,,1,none,1,-1
Default Response Set,Anonymous,,,0,12/4/19 0:20,12/4/19 0:24,1,1,1,2,6,6,6,4,3,5,1,,25,1,,1,You created a good survey. Thank you! ,1,-1
